City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
610,Meulaboh,ID,79.84,overcast clouds,4.1363,96.1285,RUMBIA RESORT VILLA
611,Robat Karim,IR,80.46,broken clouds,35.4846,51.0829,Kost Pria
616,Cacahuatepec,MX,83.77,overcast clouds,16.8861,-99.6106,لوازم خانگي شايان
618,Luwuk,ID,85.35,broken clouds,-0.9516,122.7875,
621,Tokuyama,JP,89.28,scattered clouds,34.05,131.8167,Hotel Santika Luwuk
625,Kohlu,PK,81.21,broken clouds,29.8962,69.252,Toyoko INN Tokuyama eki Shinkansenguchi
626,Salinas,US,84.56,broken clouds,36.6777,-121.6555,B &R Rest House
629,Jibuti,DJ,87.22,light rain,11.5,42.5,Laurel Inn & Conference Center
630,Grand Forks,US,75.13,smoke,47.9417,-97.4337,Orchid Main Camp Goubet
631,Galesong,ID,86.02,scattered clouds,-5.3166,119.3661,Warrior Inn
635,Guhagar,IN,79.59,overcast clouds,17.4842,73.1929,Sapriadi Appy
637,Miles City,US,78.51,broken clouds,46.4083,-105.8406,Hotel Seawinds
642,Dolinsk,RU,82.26,scattered clouds,47.35,142.8,FairBridge Inn & Suites Miles City
643,Amalapuram,IN,80.98,light rain,16.5833,82.0167,"Gostinitsa ""Yubileynaya"""
645,Itaituba,BR,78.06,broken clouds,-4.2761,-55.9836,swayamprabha service apartments
646,Kanniyakumari,IN,79.61,overcast clouds,8.0833,77.5667,Hotel Campos
649,Wanning,CN,89.01,overcast clouds,18.8003,110.3967,Sparsa
652,Shingu,JP,86.99,clear sky,33.7333,135.9833,Paradise Hotel
659,Linqiong,CN,89.78,overcast clouds,30.4159,103.4609,Shingu UI Hotel
660,Puerto Colombia,CO,82.49,scattered clouds,10.9878,-74.9547,Tianlun Tanxianglou Hotel
661,Hamilton,US,80.83,broken clouds,39.1834,-84.5333,Hotel El Emigrante
662,Roanoke,US,85.01,scattered clouds,37.271,-79.9414,Six Acres Bed & Breakfast
665,Hala,PK,84.18,overcast clouds,25.8131,68.4227,"The Hotel Roanoke & Conference Center, Curio Collection by Hilton"
666,Honiara,SB,87.19,few clouds,-9.4333,159.95,أنصاري ديكوريشن إستاف
667,Manfredonia,IT,81.82,clear sky,41.6259,15.9094,Heritage Park Hotel
671,Harper,LR,75.52,overcast clouds,4.375,-7.7169,Hotel Panorama del Golfo
673,Goshogawara,JP,86.85,few clouds,40.8044,140.4414,Screensaver
675,Udachnyy,RU,76.51,scattered clouds,66.4167,112.4,Hotel Sunroute Patio Goshogawara
676,Pierre,US,80.06,overcast clouds,44.3683,-100.351,Severnoye Siyaniye
677,Safaga,EG,87.75,overcast clouds,26.7292,33.9365,Ramkota Hotel
680,Itarema,BR,77.72,scattered clouds,-2.9248,-39.9167,Lamar Resort Abu Soma
681,Lianzhou,CN,88.68,scattered clouds,24.7811,112.3825,"Sea Lounge! Bar, Club & Restaurant"
684,Mentougou,CN,76.46,overcast clouds,39.9392,116.0917,Qingcheng Tourism Industry
686,Dongsheng,CN,82.72,clear sky,39.8161,109.9776,北京京西晨光饭店
690,Kilis,TR,80.83,clear sky,36.7161,37.115,Crowne Plaza Ordos
694,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Kilis Konağı Butik Otel
698,Cao Bang,VN,87.04,broken clouds,22.6667,106.25,Storyboard Beach Resort
700,Matara,LK,80.4,scattered clouds,5.9485,80.5353,khách sạn 88
701,Bud,US,80.89,light rain,39.447,-86.1758,Amaloh Boutique Resort
702,Paracuru,BR,80.62,few clouds,-3.41,-39.0306,Ted McQuinn Trust
